Item SKU,Store,Supplier,Cost per Unit ($),On Hand,Annual Demand
100,3480,A,125.32,159,1693
100,1611,B,115.12,40,351
100,1611,D,53.61,174,1691
100,20109,B,2.26,176,1559
100,20109,C,60.51,74,733
100,20109,D,53.72,48,496
100,80212,B,106.78,6,58
11,3480,B,1.33,129,1106
11,3480,C,12.94,82,771
11,1611,C,5.16,17,172
11,20109,A,12.33,173,1695
11,20109,C,18.72,3,28
11,20109,D,2.48,34,324
11,80212,B,18.28,175,1618
113,20109,B,164.79,91,975
113,31779,A,208.19,166,1496
113,31779,B,214.97,54,469
113,31779,C,28.68,73,697
113,80212,A,186.54,157,1654
113,80212,B,147.89,104,959
113,80212,D,198.64,13,133
122,3480,A,68.5,34,290
122,3480,B,95.64,92,855
122,3480,C,125.04,32,269
122,3480,D,146.64,143,1473
122,20109,A,120.03,77,680
122,20109,D,94.13,85,770
122,31779,A,56.59,133,1239
122,31779,B,111.66,20,215
122,31779,C,156.51,167,1796
122,31779,D,80.17,72,718
13,3480,A,19.13,28,277
13,20109,A,22.69,103,962
13,31779,A,1.13,29,297
13,31779,C,24.73,23,220
13,31779,D,9.99,188,1606
13,80212,B,21.39,141,1403
13,80212,C,24.05,188,1686
133,3480,A,153.18,143,1379
133,3480,C,191.53,33,298
133,20109,A,253.76,46,398
133,20109,B,226.74,101,969
133,20109,C,114.09,62,535
133,20109,D,23.02,48,506
133,80212,B,121.31,116,1203
133,80212,C,55.76,141,1449
137,3480,B,24.26,159,1707
137,3480,D,209.02,35,359
137,1611,A,132.96,175,1555
137,1611,B,98.65,74,702
137,20109,B,233.38,57,610
137,80212,A,197.61,13,117
137,80212,C,267.91,170,1695
14,3480,A,12.15,160,1596
14,3480,B,5.59,65,605
14,1611,C,6.85,68,675
14,20109,A,6.29,97,977
14,20109,B,18.8,143,1209
14,31779,C,21.12,159,1655
14,80212,C,7.44,161,1671
151,3480,A,9.06,11,107
151,3480,C,84.06,13,127
151,3480,D,75.23,42,422
151,1611,B,274.77,175,1502
151,1611,C,271.88,180,1515
151,31779,A,142.39,147,1566
151,31779,C,230.61,71,724
151,80212,B,88.5,64,617
151,80212,C,132.37,14,134
151,80212,D,237.08,160,1433
152,3480,A,65.1,105,928
152,3480,C,291.53,58,510
152,3480,D,283.93,55,485
152,1611,A,269.49,199,2052
152,1611,C,143.76,113,1132
152,1611,D,156.82,87,781
152,31779,A,302.13,112,942
152,31779,B,20.23,173,1835
164,3480,A,77.07,128,1080
164,3480,C,57.79,176,1634
164,3480,D,8.54,103,1039
164,1611,C,168.22,86,918
164,31779,A,94.81,141,1458
164,31779,C,99.74,180,1545
164,80212,A,212.04,121,1178
165,3480,A,306.12,35,339
165,3480,B,56.02,25,215
165,1611,A,146.34,108,1047
165,20109,A,273.35,166,1450
165,20109,B,98.75,152,1346
165,20109,D,82.69,180,1621
165,80212,B,62.24,5,48
166,3480,C,149.15,70,690
166,3480,D,162.95,80,791
166,1611,C,303.98,109,1078
166,20109,A,279.34,193,1724
166,20109,B,170.55,184,1793
166,20109,C,267.92,46,493
166,31779,C,89.99,121,1074
170,3480,B,31.69,3,30
170,20109,B,58.87,169,1436
170,20109,C,110.81,15,142
170,31779,A,276.44,133,1171
170,80212,B,333.28,15,158
170,80212,C,8.59,86,894
